Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~68|Field=Category~String~Category~68|Field=Description~String~Description~68|Field=Footprint~String~Footprint~68|Field=LibRef~String~LibRef~68|Field=Manufacturer 1~String~Manufacturer 1~68|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~68|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~68|Field=Quantity~Integer~Quantity~68|Field=Supplier 1~String~Supplier 1~68|Field=Supplier Currency 1~String~Supplier Currency 1~68|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~68|Field=Supplier Part Number 1~String~Supplier Part Number 1~68|Field=Supplier Stock 1~Integer~Supplier Stock 1~68|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~68|Field=Supplier Subtotal per Board 1~Float~Supplier Subtotal per Board 1~68|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~64|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LED.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\LED_Tutorial\LED.PrjPCB|ReportField=Title~Bill of Materials For Variant [LED-NotFitted] of Project [LED.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~11:34:08 PM|ReportField=ReportDate~10/8/2019|ReportField=ReportDateTime~10/8/2019 11:34:08 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~LED-NotFitted|ReportField=TotalQuantity~3|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/8/2019|ReportField=CurrentTime~9:52:38 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\LED_Tutorial\LED.SchDoc|ReportField=DocumentName~LED.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/8/2019|ReportField=Organization~|ReportField=ProjectName~LED.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LED.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\LED_Tutorial\LED.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||Connectors|Headers & Wire Housings 2 PIN F/LK HEADER|HDR1x2|22-29-2021 (2)|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DDigi-Key%26sku%3DWM2744-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DDigi-Key%26sku%3DWM2744-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}22-29-2021{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DDigi-Key%26sku%3DWM2744-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}WM2744-ND{URL.TIP}Supplier|2431|0.48|0.48|0.48
2|0603|Optoelectronics|LED AMBER ESS II SMD|LED0603A|LNJ437W84RA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ437W84RA%26seller%3DDigi-Key%26sku%3DLNJ437W84RADKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic%20SSG{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ437W84RA%26seller%3DDigi-Key%26sku%3DLNJ437W84RADKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LNJ437W84RA{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ437W84RA%26seller%3DDigi-Key%26sku%3DLNJ437W84RADKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}LNJ437W84RADKR-ND{URL.TIP}Supplier|200969|0.32|0.32|0.32
3|0805|Resistors|RES SMD 360 OHM 1% 1/8W 0805|R0805|CRCW0805360RFKEA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0805360RFKEA%26seller%3DDigi-Key%26sku%3D541-360CDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0805360RFKEA%26seller%3DDigi-Key%26sku%3D541-360CDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW0805360RFKEA{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0805360RFKEA%26seller%3DDigi-Key%26sku%3D541-360CDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-360CDKR-ND{URL.TIP}Supplier|18934|0.1|0.1|0.1
